,category,subcategory,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
ath03010,Genetic Information Processing,Translation,ath03010,Ribosome - Arabidopsis thaliana (thale cress),247/1958,359/5536,0.688022284122563,1.94529691772345,13.7000253840969,1.46248135010796e-40,1.84272650113603e-38,1.55484859327267e-38,820120/832141/840211/840208/838245/844414/823518/824070/819777/829619/838163/820560/835955/840916/837291/829217/819018/830900/829701/843746/816243/818304/843569/826569/835342/825248/824062/824541/820688/824468/828462/839511/833970/832832/832151/820367/822138/821308/839407/819179/821787/837356/840300/831853/830147/843744/816314/823747/832878/824511/823891/836588/830075/833518/834154/818011/818189/827375/817719/819095/830837/819374/822081/825123/825462/843063/836586/819897/832848/821120/828817/815456/827607/836351/830359/818646/821405/834617/814978/832839/824683/824153/816525/824554/831956/817299/831692/827535/829298/825398/818188/825039/835607/817318/838435/834844/819725/829920/820296/824424/824801/843298/839564/832455/814652/842161/841363/841660/839410/829529/819323/835768/835772/819722/835834/823584/837486/837036/836107/818337/829329/831372/821078/835796/826637/832305/831470/827451/829062/818524/818295/815070/824425/819644/816696/828729/818947/831724/816492/830810/823515/817317/818531/838331/836535/824054/843502/823638/819595/821816/832419/838884/837497/820853/829060/843397/828004/831405/817059/835387/832439/842142/817900/836238/828167/834934/816564/820324/841305/844129/840799/822524/827159/825195/831907/839630/834821/819652/817766/820107/825283/824741/837218/829064/844111/824694/836188/820230/819855/818654/834658/824556/826931/2745833/830600/838332/816494/821920/829607/824768/818234/825524/827074/818874/838092/816355/821567/820000/828679/831195/844199/833138/835549/828951/824588/843871/822405/819853/831997/828695/829203/834097/829614/822403/817947/816491/820283/831282/843836/836647/841255/837243/839781/839273/820750/817910/840472/820500/818905/822189/827471/842759/823623/840194/827947/816943/834765,247
ath00196,Metabolism,Energy metabolism,ath00196,Photosynthesis - antenna proteins - Arabidopsis thaliana (thale cress),19/1958,22/5536,0.863636363636364,2.44182375336614,5.0122776904756,1.14283820483188e-06,7.19988069044087e-05,6.07508729936949e-05,818599/841099/839870/823901/839871/830325/835515/839869/824654/826626/815058/842446/825320/820043/818006/815055/838151/822391/838498,19
ath03030,Genetic Information Processing,Replication and repair,ath03030,DNA replication - Arabidopsis thaliana (thale cress),28/1958,43/5536,0.651162790697674,1.84108131220752,4.09555158211119,6.44811033693837e-05,0.00270820634151412,0.00228511980361676,832261/821187/841506/836845/817292/838771/816142/815415/818812/837333/821389/842620/827591/841056/816985/843052/832836/828153/827651/834492/834193/843086/836221/834670/817506/830696/837249/824429,28
ath00290,Metabolism,Amino acid metabolism,ath00290,Valine, leucine and isoleucine biosynthesis - Arabidopsis thaliana (thale cress),16/1958,21/5536,0.761904761904762,2.15419037890948,3.91975864846588,0.000158275728205326,0.00498568543846776,0.00420680224966787,838431/824015/826975/836707/840006/844395/843742/821977/820166/841433/837542/824130/831490/831270/825068/818912,16
ath04145,Cellular Processes,Transport and catabolism,ath04145,Phagosome - Arabidopsis thaliana (thale cress),45/1958,83/5536,0.542168674698795,1.5329140874017,3.61845758607897,0.000309714238686373,0.0078047988148966,0.00658550275943657,842344/838579/843440/829460/821415/839805/830047/817400/843934/841599/825042/826716/837737/828471/822503/816680/821130/841658/834459/820855/835622/836408/827837/816290/819077/829016/823959/836390/832097/841425/827154/838598/839405/816386/816724/832098/843917/843911/829750/836391/832451/817504/831100/838590/838880,45
ath00966,Metabolism,Biosynthesis of other secondary metabolites,ath00966,Glucosinolate biosynthesis - Arabidopsis thaliana (thale cress),18/1958,26/5536,0.692307692307692,1.95741337314371,3.61955643327959,0.000444289675283877,0.00933008318096141,0.00787250126380203,816585/826975/836707/816765/838440/841433/837542/824130/832366/843749/831270/827011/838210/832365/825068/838211/821508/818912,18
ath01240,Metabolism,Global and overview maps,ath01240,Biosynthesis of cofactors - Arabidopsis thaliana (thale cress),107/1958,236/5536,0.453389830508475,1.28190301414449,3.27388013190029,0.000792557509512437,0.0142660351712239,0.0120373396181588,816874/820850/814663/819059/836701/823955/842339/817294/844202/838991/825326/835708/828145/828466/833763/839501/837789/836551/838807/822006/816619/828392/835603/838901/828409/829387/821577/816134/834149/824930/835895/829123/832797/818402/836096/817642/820348/839489/831596/838945/821327/835863/843830/829167/835750/832736/843222/836175/832394/827843/836707/826702/822396/834835/829848/843835/839053/827991/834085/826515/844204/820179/836418/830724/834671/821313/830339/829509/827027/833928/844318/830740/839197/820951/841221/820656/821003/10723096/842350/825516/817589/839964/818644/839932/5007993/820722/819010/821965/829782/817513/841433/817195/829232/821206/821399/837542/824130/815152/818356/824034/818937/838468/835567/829949/842354/836451/819219,107
ath00630,Metabolism,Carbohydrate metabolism,ath00630,Glyoxylate and dicarboxylate metabolism - Arabidopsis thaliana (thale cress),41/1958,78/5536,0.525641025641026,1.48618422775726,3.19872120770141,0.00128599469475044,0.0202544164423195,0.0170901926539204,829911/819042/820946/824060/831330/816808/821050/829737/838807/829387/844326/830292/832736/841757/820632/815822/834876/834351/829910/820664/827027/822139/837811/820951/841221/820665/829438/833535/844378/843129/843029/830825/829949/818104/837733/838342/833830/840141/833828/833829/831690,41
ath01230,Metabolism,Global and overview maps,ath01230,Biosynthesis of amino acids - Arabidopsis thaliana (thale cress),108/1958,242/5536,0.446280991735537,1.26180366202652,3.08060786426719,0.0014791659665852,0.0207083235321929,0.0174731886111235,841875/816781/819042/824459/829679/837507/829330/836279/826468/844293/831666/816822/829489/831332/819061/821050/832326/829737/825317/829978/839501/838807/819954/844291/838431/836509/824710/824923/837904/829387/824872/843869/816271/830897/842072/838140/816232/822573/844399/837776/840138/830159/816758/827149/824015/821870/832736/839817/838445/826975/836707/817329/831660/830108/819608/817519/840006/828797/844395/827715/843742/835369/828758/836262/829510/827027/830067/837725/829420/821977/830442/821003/819654/820660/831255/820166/818978/825246/842579/836625/830888/816652/819639/837509/831061/840011/830052/818566/842175/821147/841433/816672/833535/840076/837292/837542/824130/831490/826458/843612/832872/821482/818195/820461/821287/829949/821203/828759,108
ath00195,Metabolism,Energy metabolism,ath00195,Photosynthesis - Arabidopsis thaliana (thale cress),40/1958,77/5536,0.519480519480519,1.46876616743828,3.06400918736441,0.00196201137575157,0.0247213433344698,0.0208592788369377,817297/817630/837639/829359/825797/827996/836751/828984/842016/843099/838400/838591/824246/844245/836789/828183/841033/843942/840021/826551/840149/837178/824699/842386/816545/820859/817606/839449/834535/838622/826892/828996/837974/827877/825866/837358/836525/839918/841653/821143,40
ath00710,Metabolism,Energy metabolism,ath00710,Carbon fixation by Calvin cycle - Arabidopsis thaliana (thale cress),37/1958,71/5536,0.52112676056338,1.47342070810974,2.96979403167436,0.00265696463912294,0.0304343222299536,0.0256797539283652,828222/824459/844314/844293/816808/815842/844291/824710/837904/842072/837776/841757/834351/835945/828758/836262/822277/840953/825246/842579/816652/819639/830052/820723/816672/840895/840098/820461/843029/830825/824572/824746/837848/828759/833830/833828/833829,37
ath00340,Metabolism,Amino acid metabolism,ath00340,Histidine metabolism - Arabidopsis thaliana (thale cress),13/1958,19/5536,0.684210526315789,1.93451964948121,3.01827449689099,0.0033907634130725,0.0356030158372612,0.0300409740982739,823955/838991/836509/817776/830897/827149/828797/830067/837509/829782/842175/840076/818195,13
ath00270,Metabolism,Amino acid metabolism,ath00270,Cysteine and methionine metabolism - Arabidopsis thaliana (thale cress),59/1958,125/5536,0.472,1.33452093973442,2.79823726478624,0.00389294734359819,0.0359252359278689,0.0303128557119027,844376/839345/829330/816808/833613/841405/825317/830035/825386/839501/835466/844264/828409/824872/816271/832797/816232/825500/841263/838216/816478/834975/841757/834407/836707/831660/822144/827640/844069/842096/827715/834351/843367/842536/815134/838993/821292/821003/819654/831255/818978/842579/821964/840011/821147/841433/837542/824130/832011/832872/821482/830825/821287/821203/821845/816812/828460/836709/837753,59
ath00100,Metabolism,Lipid metabolism,ath00100,Steroid biosynthesis - Arabidopsis thaliana (thale cress),21/1958,36/5536,0.583333333333333,1.64930200885257,2.89109019212937,0.00399169288087432,0.0359252359278689,0.0303128557119027,832482/841465/818943/838593/816012/837712/817488/815275/842213/826819/837254/820679/838621/831216/818012/843941/835105/821519/828374/824460/829617,21
ath00770,Metabolism,Metabolism of cofactors and vitamins,ath00770,Pantothenate and CoA biosynthesis - Arabidopsis thaliana (thale cress),20/1958,34/5536,0.588235294117647,1.66316168959923,2.86908611098491,0.00431880564693654,0.036277967434267,0.0306104821291643,823955/842339/817294/838991/825326/831093/825074/837789/842894/820320/821327/824015/836707/821977/829782/841433/837542/824130/831490/819219,20
ath00860,Metabolism,Metabolism of cofactors and vitamins,ath00860,Porphyrin metabolism - Arabidopsis thaliana (thale cress),30/1958,57/5536,0.526315789473684,1.48809203806247,2.73989228314151,0.00540447405120399,0.0406116043479387,0.0342671014130477,819059/835708/828013/839489/838554/831207/827991/834085/829854/830724/841029/820069/839009/837374/839472/841000/817589/818644/820722/817195/827580/824861/824345/824034/824775/835507/828611/828853/834633/831984,30
ath03082,Genetic Information Processing,Chromosome,ath03082,ATP-dependent chromatin remodeling - Arabidopsis thaliana (thale cress),33/1958,64/5536,0.515625,1.45786516853933,2.72520726034652,0.00547934344376951,0.0406116043479387,0.0342671014130477,819210/823726/820463/835595/833676/844243/824897/839455/830006/836899/820416/829594/820093/819814/823594/819375/836431/842876/838774/823150/821025/841528/817292/829882/829657/837409/832829/816179/841910/818463/828831/824621/836109,33
