Subset,Detail,ENTREZ,symbol
HvsIM,AT1G02010,839288,SEC1A
HvsIM,AT1G02205,837602,CER1
HvsIM,AT1G03920,839369,NDR2
HvsIM,AT1G06100,837119,ADS1.3
HvsIM,AT1G11475,837690,NRPB10
HvsIM,AT1G12750,837831,ATRBL6
HvsIM,AT1G13140,837871,CYP86C3
HvsIM,AT1G14760,838041,KNATM
HvsIM,AT1G15960,838166,ATNRAMP6
HvsIM,AT1G17260,838297,AHA10
HvsIM,AT1G19840,28717252,SAUR53
HvsIM,AT1G20160,838606,ATSBT5.2
HvsIM,AT1G21890,838791,UMAMIT19
HvsIM,AT1G23380,838946,KNAT6
HvsIM,AT1G24030,839015,PBL28
HvsIM,AT1G24070,839019,ATCSLA10
HvsIM,AT1G27370,839626,SPL10
HvsIM,AT1G30650,839945,ABT1
HvsIM,AT1G32310,840123,SAMBA
HvsIM,AT1G36180,840522,ACC2
HvsIM,AT1G48175,841237,AtTAD2
HvsIM,AT1G48360,841256,FAN1
HvsIM,AT1G51340,841557,MATE
HvsIM,AT1G58230,842191,BCHB
HvsIM,AT1G58360,842205,AAP1
HvsIM,AT1G60260,3767578,BGLU5
HvsIM,AT1G60270,3767579,BGLU6
HvsIM,AT1G61590,842455,PBL15
HvsIM,AT1G62310,842529,JMJ29
HvsIM,AT1G62420,842540,RXR3
HvsIM,AT1G62790,842578,LTPG7
HvsIM,AT1G63100,842613,SCL28
HvsIM,AT1G63180,842622,UGE3
HvsIM,AT1G65450,842857,GLC
HvsIM,AT1G66080,842922,HKL
HvsIM,AT1G66730,842991,AtLIG6
HvsIM,AT1G67120,843032,AtMDN1
HvsIM,AT1G67140,843034,SWEETIE
HvsIM,AT1G70680,843405,CLO6
HvsIM,AT1G71050,843445,AtHMP15
HvsIM,AT1G71890,843520,ATSUC5
HvsIM,AT1G71960,843527,ABCG25
HvsIM,AT1G77320,844068,MEI1
HvsIM,AT1G77680,844104,AtRRP44B
HvsIM,AT1G78080,844143,AtWIND1
HvsIM,AT1G79780,844317,CASPL3A2
HvsIM,AT1G80760,844415,NIP6
HvsIM,AT2G01730,814702,ATCPSF73-II
HvsIM,AT2G02850,814816,ARPN
HvsIM,AT2G03760,814903,AtSOT1
HvsIM,AT2G11810,815657,ATMGD3
HvsIM,AT2G13540,815840,ABH1
HvsIM,AT2G20020,816521,ATCAF1
HvsIM,AT2G21140,816649,ATPRP2
HvsIM,AT2G22970,816828,SCPL11
HvsIM,AT2G24700,817006,REM32
HvsIM,AT2G27510,817297,ATFD3
HvsIM,AT2G28930,817442,APK1B
HvsIM,AT2G30080,817559,ATZIP6
HvsIM,AT2G30590,817609,WRKY21
HvsIM,AT2G31250,817682,HEMA3
HvsIM,AT2G31900,817748,ATMYO5
HvsIM,AT2G31970,817756,ATRAD50
HvsIM,AT2G33850,817954,E6L1
HvsIM,AT2G34850,818050,MEE25
HvsIM,AT2G35160,818083,SGD9
HvsIM,AT2G35340,818101,MEE29
HvsIM,AT2G35630,818131,GEM1
HvsIM,AT2G35950,818168,EDA12
HvsIM,AT2G36810,818253,SGR6
HvsIM,AT2G37170,818293,PIP2;2
HvsIM,AT2G37460,818323,UMAMIT12
HvsIM,AT2G37580,818334,ATL33
HvsIM,AT2G40100,818599,LHCB4.3
HvsIM,AT2G41940,818794,ZFP8
HvsIM,AT2G44860,819095,eL24x
HvsIM,AT2G47260,819339,ATWRKY23
HvsIM,AT2G47730,819386,ATGSTF5
HvsIM,AT3G01140,821209,AtMYB106
HvsIM,AT3G02030,821242,ELT6
HvsIM,AT3G03030,821153,PAM18-3
HvsIM,AT3G05040,819666,HST
HvsIM,AT3G06260,819800,GATL4
HvsIM,AT3G06370,819811,ATNHX4
HvsIM,AT3G09390,820098,ATMT-1
HvsIM,AT3G12810,820463,chr13
HvsIM,AT3G12890,820472,ASML2
HvsIM,AT3G13225,820517,FNBP4
HvsIM,AT3G14000,820614,ATBRXL2
HvsIM,AT3G14360,820657,AtOBL1
HvsIM,AT3G14640,820692,CYP72A10
HvsIM,AT3G18490,821379,ASPG1
HvsIM,AT3G19450,821479,ATCAD4
HvsIM,AT3G23290,821908,LSH4
HvsIM,AT3G23325,821913,SF3B5A
HvsIM,AT3G23430,821924,ATPHO1
HvsIM,AT3G30530,822767,ATBZIP42
HvsIM,AT3G42640,823281,AHA8
HvsIM,AT3G44260,823551,AtCAF1a
HvsIM,AT3G44900,823624,ATCHX4
HvsIM,AT3G45010,823636,scpl48
HvsIM,AT3G45420,823680,LecRK-I.4
HvsIM,AT3G46010,823744,ADF1
HvsIM,AT3G47360,823890,ATHSD3
HvsIM,AT3G47380,823892,AtPMEI11
HvsIM,AT3G48190,823975,ATATM
HvsIM,AT3G48480,824007,FUG1
HvsIM,AT3G49840,824146,Nemp_C
HvsIM,AT3G49920,824154,ATVDAC5
HvsIM,AT3G51060,824270,AtSTY1
HvsIM,AT3G54140,824581,AtNPF8.1
HvsIM,AT3G59100,825079,ATGSL11
HvsIM,AT3G60720,825243,PDLP8
HvsIM,AT4G00490,827959,BAM2
HvsIM,AT4G00760,828011,APRR8
HvsIM,AT4G00930,827980,CIP4.1
HvsIM,AT4G01190,828066,ATPIPK10
HvsIM,AT4G04760,825812,ESL3.03
HvsIM,AT4G08150,826364,BP
HvsIM,AT4G13235,826940,EDA21
HvsIM,AT4G14465,827093,AHL20
HvsIM,AT4G15320,827198,ATCSLB06
HvsIM,AT4G20060,827751,DSP1
HvsIM,AT4G21410,827893,CRK29
HvsIM,AT4G22970,828396,AESP
HvsIM,AT4G23290,828428,CRK21
HvsIM,AT4G27010,828809,EMB2788
HvsIM,AT4G31160,829244,DCAF1
HvsIM,AT4G33070,829444,AtPDC1
HvsIM,AT4G33560,829495,WIP5
HvsIM,AT4G34050,829551,CCoAOMT1
HvsIM,AT4G35420,829695,DRL1
HvsIM,AT4G36270,829784,MORC3
HvsIM,AT4G36710,829824,AtHAM4
HvsIM,AT4G36930,829847,SPT
HvsIM,AT4G40010,830162,SNRK2-7
HvsIM,AT5G02810,831793,APRR7
HvsIM,AT5G03720,831749,AT-HSFA3
HvsIM,AT5G08230,830719,HULK1
HvsIM,AT5G11950,831068,LOG8
HvsIM,AT5G13840,831230,CCS52B
HvsIM,AT5G19650,832085,ATOFP8
HvsIM,AT5G28490,832941,LSH1
HvsIM,AT5G38140,833794,NF-YC12
HvsIM,AT5G39190,833914,ATGER2
HvsIM,AT5G40330,834031,ATMYB23
HvsIM,AT5G43730,834393,RSG2
HvsIM,AT5G44180,834441,RLT2
HvsIM,AT5G44400,834466,AtBBE26
HvsIM,AT5G44572,5008298,PROSCOOP6
HvsIM,AT5G44580,834486,PROSCOOP10
HvsIM,AT5G44582,5008301,PROSCOOP11
HvsIM,AT5G48930,834951,HCT
HvsIM,AT5G49620,835024,AtMYB78
HvsIM,AT5G49630,835025,AAP6
HvsIM,AT5G50460,835114,SEC61gamma
HvsIM,AT5G51451,6241076,CLEL7
HvsIM,AT5G53830,835464,MVQ3
HvsIM,AT5G53920,835475,PRMA
HvsIM,AT5G58160,835928,FH13
HvsIM,AT5G58500,28721277,LSH5
HvsIM,AT5G61140,836235,BRR2c
HvsIM,AT5G61740,836296,ABCA10
HvsIM,AT5G63090,836429,LOB
HvsIM,AT5G63850,836505,AAP4
HvsIM,AT5G64800,28721288,CLE21
HvsIM,AT5G66610,836793,DAR7
