gene_id,Cluster
AT5G46871,4
AT2G05440,4
AT4G15700,4
AT4G21105,4
AT1G03870,4
AT2G30590,4
AT3G13275,4
AT2G48030,4
AT2G32030,4
AT4G28460,4
AT3G09390,4
AT1G23530,4
AT5G23660,4
AT2G01913,4
AT3G26760,4
AT5G17210,4
AT2G15340,4
AT4G28420,4
AT4G23690,4
AT5G58860,4
AT4G36610,4
AT2G15780,4
AT1G62770,4
AT1G33475,4
AT1G06520,4
AT2G05510,4
AT1G65330,4
AT3G50970,4
AT1G64700,4
AT4G26260,4
AT4G24180,4
AT1G17060,4
AT3G57100,4
AT1G71520,4
AT3G18280,4
AT5G04080,4
AT5G14320,4
AT1G64510,4
AT1G27950,4
AT5G53880,4
AT4G30460,4
AT5G53030,4
AT1G78110,4
AT2G42870,4
AT1G01620,4
AT2G25080,4
AT3G16660,4
AT2G26010,4
AT3G58120,4
AT2G13610,4
AT2G44920,4
AT1G58420,4
AT3G24450,4
AT5G14410,4
AT1G17700,4
AT1G62380,4
AT3G16670,4
AT5G41060,4
AT1G26450,4
AT3G16240,4
AT3G29680,4
AT2G23270,4
AT1G58170,4
AT5G65590,4
AT3G45010,4
AT3G45680,4
AT1G66860,4
AT1G59740,4
AT4G16640,4
AT3G62960,4
AT3G14990,4
AT1G17180,4
AT5G60470,4
AT3G16140,4
AT2G43560,4
AT2G33450,4
AT1G15820,4
AT2G10940,4
AT2G33180,4
AT3G06750,4
AT4G38690,4
AT5G23020,4
AT1G07320,4
AT4G12730,4
AT1G47400,4
AT4G17600,4
AT5G09995,4
AT2G05790,4
AT3G30720,4
AT1G66140,4
AT3G50685,4
AT5G42750,4
AT3G52360,4
AT4G14830,4
AT1G25425,4
AT5G62140,4
AT1G03020,4
AT4G00400,4
AT3G49340,4
AT3G54080,4
AT2G30766,4
AT1G49380,4
AT4G13770,4
AT5G66590,4
AT3G12870,4
AT1G67750,4
AT1G47655,4
AT5G06850,4
AT4G30910,4
AT2G01970,4
AT4G35630,4
AT5G11350,4
AT1G16090,4
AT3G49840,4
AT3G58900,4
AT4G18910,4
AT3G61450,4
AT2G19500,4
AT5G56970,4
AT4G13494,4
AT3G54910,4
AT4G30570,4
AT1G13040,4
AT1G23110,4
AT1G06083,4
AT1G74870,4
AT5G00445,4
AT1G31885,4
AT1G34245,4
AT3G28750,4
AT1G79915,4
AT5G28750,4
AT3G13120,4
AT1G76960,4
AT3G61110,4
AT5G57685,4
AT2G14610,4
AT2G43570,4
AT5G46700,4
AT2G28760,4
AT4G29390,4
AT3G60720,4
AT2G14247,4
AT3G59650,4
AT4G38580,4
AT1G11850,4
AT1G04107,4
AT1G76955,4
AT2G06925,4
AT4G29020,4
AT3G52105,4
AT1G49800,4
AT3G13674,4
AT1G75390,4
AT3G01960,4
AT5G39800,4
AT5G49525,4
AT5G65040,4
AT2G20585,4
AT1G23100,4
AT3G54180,4
AT3G12145,4
AT2G00450,4
AT3G30530,4
AT3G13175,4
AT5G43250,4
AT3G27690,4
AT2G45990,4
AT2G22670,4
AT4G00180,4
AT1G50732,4
AT3G15536,4
AT5G20270,4
AT1G44760,4
AT4G04293,4
AT3G17130,4
AT2G26040,4
AT5G40970,4
AT3G52720,4
AT5G11420,4
AT1G52855,4
AT5G01075,4
AT1G31750,4
AT4G18570,4
AT3G17050,4
AT2G40100,4
AT5G12330,4
AT5G57785,4
AT5G02460,4
AT5G06270,4
AT3G27250,4
AT4G24700,4
AT1G07720,4
AT1G70985,4
AT4G25100,4
AT5G25610,4
AT2G06065,4
AT2G18980,4
AT3G23450,4
AT5G63090,4
AT1G24735,4
AT3G15310,4
AT5G06100,4
AT3G47680,4
AT1G64563,4
AT5G24670,4
AT4G16870,4
AT2G13540,4
AT1G48175,4
AT2G21140,4
AT3G48630,4
AT3G57460,4
AT1G14640,4
AT5G03435,4
AT3G59320,4
AT1G29560,4
AT1G58230,4
AT4G29990,4
AT3G03815,4
AT5G33370,4
AT1G64270,4
AT3G18300,4
AT3G09790,4
AT5G23110,4
AT5G43403,4
AT1G05207,4
AT4G06880,4
AT4G30140,4
AT2G15080,4
AT5G02425,4
AT1G79245,4
AT1G45616,4
AT4G16910,4
AT2G31150,4
AT1G16220,4
AT1G72645,4
AT5G38030,4
AT1G36180,4
AT1G09045,4
AT1G06250,4
AT3G09160,4
AT2G09025,4
AT5G05865,4
AT3G07825,4
AT1G15960,4
ArthCp053,4
AT1G32172,4
AT5G01715,4
AT1G75290,4
AT1G76530,4
AT1G04650,4
AT2G09165,4
AT3G11000,4
AT2G12170,4
AT5G15900,4
AT5G59660,4
ArthCp074,4
AT3G13900,4
AT2G01905,4
AT3G26050,4
ArthCp014,4
AT3G06260,4
AT1G46552,4
AT5G18255,4
AT1G45545,4
AT1G09930,4
AT1G69750,4
AT5G49680,4
AT1G60095,4
AT2G39950,4
AT1G64950,4
AT4G32920,4
AT5G65160,4
AT1G69810,4
AT1G09540,4
AT1G30730,4
AT5G36220,4
AT2G36590,4
AT4G20460,4
AT3G48310,4
AT5G04860,4
AT5G67310,4
AT5G13200,4
AT2G22470,4
AT4G24110,4
AT4G01350,4
AT1G02360,4
AT1G78830,4
AT1G30620,4
AT4G33930,4
AT3G21710,4
AT4G12430,4
AT2G21900,4
AT1G11210,4
AT1G36640,4
AT5G59820,4
AT3G17690,4
AT1G51620,4
AT3G01900,4
AT1G52270,4
AT2G01530,4
AT4G25390,4
AT5G02780,4
AT2G36020,4
AT5G06820,4
AT5G44480,4
AT5G54300,4
AT2G42060,4
AT3G11150,4
AT3G14360,4
AT4G39360,4
AT3G04620,4
AT5G53920,4
AT5G20470,4
AT3G00440,4
AT2G24740,4
AT1G04973,4
AT5G22550,4
AT4G36930,4
AT3G04200,4
AT2G11150,4
AT5G49070,4
AT5G14070,7
AT4G15150,7
AT5G24010,7
AT4G14450,7
AT3G00800,7
AT2G21100,7
AT1G15385,7
AT1G62370,7
AT1G02640,7
AT2G28140,7
AT5G46530,7
AT3G04320,7
AT3G05880,7
AT2G04025,7
AT4G26055,7
AT3G56240,7
AT2G20260,7
AT4G40030,7
AT1G49470,7
AT2G44770,7
AT5G55460,7
AT4G14640,7
AT2G31110,7
AT2G17710,7
AT3G12750,7
AT1G52140,7
AT3G62930,7
AT3G16500,7
AT1G20823,7
AT3G12730,7
AT1G01180,7
AT1G63310,7
AT5G14940,7
AT4G15670,7
AT5G26731,7
AT4G36710,7
AT1G48745,7
AT5G15960,7
AT1G68765,7
AT3G25190,7
AT5G18470,7
AT2G47270,7
AT1G18835,7
AT4G01410,7
AT3G21600,7
AT3G46020,7
AT2G47440,7
AT3G16280,7
AT2G28630,7
AT2G37330,7
AT5G13880,7
AT1G31935,7
AT4G27660,7
AT5G15265,7
AT3G51895,7
AT4G31330,7
AT1G31460,7
AT1G52342,7
AT4G28330,7
AT1G48325,7
AT5G01740,7
AT5G18290,7
AT3G13130,7
AT5G02750,7
AT3G48660,7
AT2G15400,7
AT3G23230,7
AT5G45040,7
AT5G49620,7
AT3G47180,7
AT4G35190,7
AT5G11990,7
AT3G55500,7
AT4G28750,7
AT1G03130,7
AT3G47070,7
AT5G25840,7
AT5G65220,7
AT4G13500,7
AT1G75690,7
AT4G15930,7
AT3G15190,7
AT2G18328,7
AT4G09010,7
AT5G07240,7
AT4G02530,7
AT1G54780,7
AT4G00780,7
AT3G53900,7
AT3G62030,7
AT2G45190,7
AT4G34250,7
AT3G63190,7
AT1G55670,7
AT1G65295,7
AT5G57170,7
AT1G73330,7
AT3G08920,7
AT3G61470,7
AT3G11110,7
AT2G26550,7
AT5G42530,7
AT5G27290,7
AT2G27385,7
AT1G66190,7
AT5G43750,7
AT5G39210,7
AT4G01150,7
AT3G06020,7
AT1G11860,7
AT1G55260,7
AT1G06830,7
AT2G13820,7
AT4G22290,7
AT4G08685,7
AT5G44005,7
AT1G29450,7
AT4G38860,7
AT2G35370,7
AT1G52827,7
AT4G03150,7
AT5G57030,7
AT1G75030,7
AT4G12880,7
AT2G33330,7
AT3G18050,7
AT3G12110,7
AT4G18970,7
AT3G25717,7
AT1G65230,7
AT2G35430,7
AT2G27130,7
AT3G05625,7
AT2G42485,7
AT1G29440,7
AT3G58200,7
AT3G05430,7
AT4G23770,7
AT5G47920,7
AT5G15160,7
AT1G68870,7
AT5G02890,7
AT4G38850,7
AT2G18010,7
AT5G37750,7
AT1G77960,7
AT4G28720,7
AT1G09225,7
AT1G64450,7
AT3G28960,7
AT1G62310,7
AT4G32650,7
AT3G63500,7
AT1G65370,7
AT3G53230,7
AT5G65020,7
AT4G39010,7
AT1G69720,7
AT2G28930,7
AT1G71330,7
AT3G05040,7
AT4G14504,7
AT3G45410,7
AT4G15215,7
AT3G63380,7
AT5G41120,7
AT2G41905,7
AT5G61940,7
AT5G58790,7
AT2G09190,7
AT5G26200,7
AT3G03965,7
AT1G60740,7
AT3G19663,7
AT4G40020,7
AT3G03025,7
AT1G27420,7
AT2G37580,7
AT1G06033,7
AT2G23985,7
AT1G29600,7
AT5G01050,7
AT2G46040,7
AT5G63920,7
AT5G38070,7
AT1G06370,7
AT3G63480,7
AT1G04277,7
AT3G44770,7
AT2G35750,7
AT5G03825,7
AT1G13050,7
AT2G09305,7
AT1G43640,7
AT1G09917,7
AT5G16235,7
AT4G08805,7
AT3G01795,7
AT5G19097,7
AT5G38910,7
AT1G06100,7
AT1G52120,7
AT4G14650,7
AT5G60310,7
AT4G29450,7
AT4G15480,7
AT2G22920,7
AT4G34880,7
AT2G30570,7
AT1G76100,7
AT5G46730,7
AT1G32990,7
AT4G14320,7
AT2G28190,7
AT3G11120,7
AT5G16400,7
AT5G63710,7
AT5G14910,7
AT5G07322,7
AT5G57290,7
AT1G33040,7
AT2G19750,7
AT1G68590,7
AT3G63160,7
AT2G04700,7
AT3G15540,7
AT4G01450,7
AT5G54660,7
AT3G48930,7
AT3G04400,7
AT5G07020,7
AT2G18400,7
AT3G45930,7
AT5G15970,7
AT5G24314,7
AT2G40590,7
AT1G49500,7
AT2G37460,7
AT5G65880,7
AT2G22230,7
AT1G70600,7
AT1G46480,7
AT2G27970,7
AT5G44160,7
AT4G39235,7
AT2G46630,7
AT1G64405,7
AT1G22900,7
AT5G59870,7
AT3G43980,7
AT1G08580,7
AT5G28010,7
AT1G54690,7
AT2G46650,7
AT3G53235,7
AT5G55420,7
AT2G20490,7
AT3G19508,7
AT1G19640,7
AT1G55205,7
AT3G60660,7
AT4G30845,7
AT5G45830,7
AT5G05790,7
AT2G15000,7
AT4G34770,7
AT4G14723,7
AT3G12890,7
AT4G00880,7
AT1G30515,7
AT3G05858,7
AT5G64700,7
AT2G02120,7
AT5G07475,7
AT2G05070,7
AT5G52780,7
AT5G47640,7
AT2G41090,7
AT1G58225,7
AT3G61880,7
AT1G67090,7
AT1G14150,7
AT1G77690,7
AT5G21430,7
AT1G29660,7
AT1G67050,7
AT2G47730,7
AT1G23205,7
AT1G20160,7
AT1G71880,7
AT1G75900,7
AT2G18570,7
AT1G11700,7
AT1G21140,7
AT1G73830,7
AT2G35960,7
AT5G11930,7
AT5G58500,7
AT1G07180,7
AT3G03450,7
AT1G68570,7
AT4G14465,7
AT4G10500,7
AT5G50820,7
AT1G26761,7
AT3G51060,7
AT2G42110,7
AT1G16515,7
AT3G58000,7
AT5G60910,7
AT3G47430,7
AT5G03130,7
DA397_mgr02,7
AT2G20815,7
AT4G36980,7
AT4G11830,7
AT3G25495,7
AT4G38230,7
AT3G61010,7
AT1G12750,7
AT4G21326,7
ArthCp030,7
AT4G39420,7
AT5G24205,7
ArthCp002,7
AT2G39580,7
AT2G42010,7
ArthCp049,7
AT1G48090,7
AT3G13277,7
AT2G02350,7
AT1G74810,7
AT1G16550,7
AT1G01660,7
AT2G41210,7
AT1G73310,7
AT5G38212,7
AT2G42640,7
AT5G24740,7
AT1G02010,7
ArthCp017,7
AT4G02005,7
AT3G14630,7
AT4G31160,7
AT2G09710,7
AT3G52530,7
AT5G61140,7
AT5G43730,7
AT4G31405,7
AT1G52820,7
AT4G33260,7
AT4G08100,7
AT5G02515,7
AT4G13280,7
AT3G44740,7
AT1G01046,7
AT1G05277,7
AT1G04160,7
AT4G13560,7
AT1G72960,7
AT4G02660,7
AT5G00470,7
AT3G03265,7
AT4G31355,7
AT2G00340,7
AT2G40711,7
AT4G20060,7
AT1G14455,7
AT4G26255,7
AT4G25707,7
AT2G29890,7
AT2G03540,7
AT5G38747,7
AT2G04135,7
AT4G08991,7
AT2G34850,7
AT3G62455,7
AT1G04007,7
AT1G02065,7
AT5G40330,7
AT3G07205,7
AT1G62700,7
AT5G28430,7
AT1G33615,7
AT1G28765,7
AT1G64561,7
AT1G18075,7
ArthCp008,7
AT1G24265,7
AT1G60270,7
AT5G28390,7
AT1G04273,7
AT4G39110,7
AT3G16410,7
AT1G06265,7
AT5G45180,7
AT1G06553,7
AT1G51460,7
ArthCp031,7
AT1G02205,7
AT5G00400,7
ArthCp035,7
AT1G08825,7
AT5G38743,7
AT3G47360,7
AT3G48235,7
AT3G48480,7
AT5G00550,7
AT5G01570,7
AT1G05077,7
AT3G04355,7
AT4G13564,7
AT1G20570,7
AT1G55175,7
AT2G15800,7
unassigned_gene_134,7
AT3G04055,7
AT1G27040,7
AT4G39361,7
AT1G35530,7
AT4G04845,7
AT5G07895,7
AT3G13400,7
ArthCp025,7
AT3G47660,7
AT4G28350,7
AT1G69740,7
AT5G59530,7
AT1G69790,7
AT3G26290,7
AT4G12120,7
AT4G16260,7
AT4G15417,7
AT5G64100,7
AT3G01820,7
AT1G13480,7
AT3G02040,7
AT3G13380,7
AT5G35370,7
AT5G04720,7
AT4G02280,7
AT2G24180,7
AT4G22070,7
AT1G48370,7
AT1G61080,7
AT1G26390,7
AT2G35980,7
AT3G04010,7
AT1G49450,7
AT1G42980,7
AT5G26030,7
AT5G13205,7
AT2G30550,7
AT1G02270,7
AT4G25350,7
AT1G26400,7
AT5G05850,7
AT2G34960,7
AT4G31000,7
AT1G32049,7
AT3G21080,7
AT3G61390,7
AT5G24230,7
AT4G37060,7
AT4G35110,7
AT1G15800,7
AT4G09420,7
AT1G57650,7
AT5G58320,7
AT3G54990,7
AT4G18360,7
AT4G20320,7
AT3G22620,7
AT5G24090,7
AT2G34580,7
AT5G64750,7
AT3G45710,7
AT2G39200,7
AT3G58810,7
AT3G49210,7
AT1G12950,7
AT2G26310,7
AT3G01175,7
AT4G07365,7
AT3G20660,7
AT5G44380,7
AT5G03720,7
AT4G05030,7
AT3G02800,7
AT5G45070,7
AT5G57480,7
AT4G33465,7
AT1G75000,7
AT2G35300,7
AT3G01420,7
AT2G38340,7
AT5G48775,7
AT4G15320,7
AT1G19610,7
AT1G09447,7
AT3G46500,7
AT3G48840,7
AT2G17055,7
AT3G14640,7
AT3G12977,7
AT1G36620,7
AT4G15400,7
AT1G05833,7
AT1G71770,7
AT4G17483,7
AT5G16080,8
AT2G15310,8
AT3G57950,8
AT3G43430,8
AT1G79660,8
AT1G25275,8
AT5G05300,8
AT3G28200,8
AT1G68320,8
AT2G28710,8
AT2G01610,8
AT4G31730,8
AT5G23350,8
AT2G23170,8
AT5G57550,8
AT2G25297,8
AT2G40113,8
AT2G28510,8
AT3G50410,8
AT5G03615,8
AT4G26200,8
AT4G23680,8
AT5G08150,8
AT3G60164,8
AT2G33750,8
AT2G48130,8
AT1G26410,8
AT3G61930,8
AT2G23540,8
AT4G33610,8
AT5G05965,8
AT3G48580,8
AT1G55990,8
AT1G21360,8
AT1G07985,8
AT3G14060,8
AT1G32170,8
AT3G22275,8
AT2G40330,8
AT1G77640,8
AT5G56870,8
AT4G13235,8
AT1G61255,8
AT4G12410,8
AT3G15353,8
AT5G18600,8
AT3G11930,8
AT3G50820,8
AT5G41400,8
AT2G06845,8
AT5G24570,8
AT4G04223,8
AT4G18280,8
AT3G11280,8
AT1G70670,8
AT3G59880,8
AT2G05520,8
AT4G34230,8
AT2G46690,8
AT5G16250,8
AT5G63850,8
AT5G11950,8
AT1G66100,8
AT1G75750,8
AT1G07400,8
AT2G43340,8
AT1G17430,8
AT1G71960,8
AT5G54145,8
AT3G50440,8
AT2G03760,8
AT1G75240,8
AT2G30540,8
AT1G67195,8
AT3G14280,8
AT1G52550,8
AT1G62480,8
AT2G30890,8
AT2G04690,8
AT2G28200,8
AT2G39705,8
AT2G40670,8
AT3G29370,8
AT1G10480,8
AT2G31560,8
AT5G66800,8
AT3G50560,8
AT3G09190,8
AT5G64800,8
AT2G28085,8
AT5G49280,8
AT3G29120,8
AT2G25625,8
AT4G08770,8
AT1G62520,8
AT3G23430,8
AT2G46720,8
AT4G37730,8
AT5G48170,8
AT5G04190,8
AT3G17180,8
AT4G09110,8
AT1G22380,8
AT4G33560,8
AT4G30290,8
AT5G01305,8
AT5G14730,8
AT3G19200,8
AT4G09060,8
AT3G17580,8
AT1G55230,8
AT2G36026,8
AT5G02580,8
AT3G21420,8
AT2G38140,8
AT3G21055,8
AT3G44890,8
AT1G18730,8
AT3G26060,8
AT1G66430,8
AT2G46820,8
AT2G45180,8
AT4G09650,8
AT1G67870,8
AT3G16570,8
AT4G17560,8
AT3G24770,8
AT2G34620,8
AT5G66580,8
AT1G50900,8
AT5G58260,8
AT5G62280,8
AT1G34640,8
AT3G61870,8
AT5G18660,8
AT3G51510,8
AT1G17200,8
AT4G24770,8
AT1G61795,8
AT4G34630,8
AT2G44040,8
AT4G15990,8
AT5G48930,8
AT2G45470,8
AT3G01440,8
AT1G10960,8
AT3G61820,8
AT4G38840,8
AT3G29639,8
AT4G37930,8
AT4G30250,8
AT1G18590,8
AT2G42730,8
AT1G74070,8
AT1G52510,8
AT1G35180,8
AT1G65860,8
AT5G49170,8
AT1G16410,8
AT5G25160,8
AT1G09340,8
AT2G32880,8
AT3G18777,8
AT1G13250,8
AT3G54600,8
AT5G45820,8
AT5G38770,8
AT1G21510,8
AT5G63780,8
AT1G29510,8
AT1G50280,8
AT1G12010,8
AT5G26270,8
AT3G49510,8
AT3G12970,8
AT1G15550,8
AT1G19480,8
AT4G14630,8
AT5G11670,8
AT3G07160,8
AT3G44690,8
AT5G17330,8
AT4G23300,8
AT3G03640,8
AT2G21020,8
AT2G17050,8
AT3G03030,8
AT3G25180,8
AT2G28360,8
AT3G59100,8
AT2G18650,8
AT1G05773,8
AT2G00890,8
AT5G64120,8
AT1G02520,8
AT4G31060,8
AT3G04715,8
AT5G07640,8
AT5G52790,8
AT1G67120,8
AT1G77100,8
AT5G02190,8
AT1G08937,8
AT5G57150,8
AT5G07650,8
AT3G02225,8
AT3G14185,8
AT5G06825,8
AT3G09955,8
AT4G11230,8
AT1G75120,8
AT3G59710,8
AT5G15130,8
AT3G04275,8
AT4G16540,8
AT1G06020,8
AT5G16860,8
AT4G17470,8
AT5G01505,8
AT4G09375,8
AT2G02130,8
AT1G22690,8
AT3G27160,8
AT1G35680,8
AT4G16008,8
AT2G18660,8
AT3G07230,8
AT2G41650,8
AT2G43100,8
AT5G05960,8
AT3G23390,8
AT4G14870,8
AT1G77990,8
AT4G34590,8
AT5G22880,8
AT2G35470,8
AT2G16050,8
AT2G45860,8
AT5G40080,8
AT5G52390,8
AT5G65360,8
AT1G41880,8
AT1G69870,8
AT2G24440,8
AT3G02640,8
AT5G10400,8
AT4G08780,8
AT5G54190,8
AT2G27710,8
AT2G02100,8
AT3G57240,8
AT2G16580,8
AT3G52900,8
AT4G34790,8
AT5G15530,8
AT2G39880,8
AT2G42540,8
AT4G12890,8
AT5G52547,8
AT5G06190,8
AT5G45010,8
AT4G01975,8
AT3G05550,8
AT5G24920,8
AT4G04810,8
AT2G20362,8
AT4G39630,8
AT2G26580,8
AT4G14540,8
AT5G42070,8
AT3G21270,8
AT3G21460,8
AT4G33660,8
AT3G08940,8
AT1G09310,8
AT5G58390,8
AT5G53280,8
AT1G75460,8
AT1G79770,8
AT2G18230,8
AT4G15630,8
AT5G01090,8
AT1G19840,8
AT4G04630,8
AT3G14210,8
AT5G20110,8
AT5G16240,8
AT2G42610,8
AT5G64460,8
AT5G11550,8
AT3G48420,8
AT1G68530,8
AT3G19450,8
AT2G24580,8
AT5G14740,8
AT1G12080,8
AT3G24460,8
AT4G00490,8
AT1G75580,8
AT3G02380,8
AT1G71890,8
AT1G51440,8
AT5G19650,8
AT4G10310,8
AT2G26695,8
AT5G10310,8
AT5G50720,8
AT1G09812,8
AT1G69730,8
AT2G14255,8
AT4G05685,8
AT1G80800,8
AT4G36648,8
AT2G46560,8
AT4G00040,8
AT4G04920,8
AT2G19250,8
AT4G24450,8
AT4G13495,8
AT1G30420,8
AT1G50745,8
AT1G33390,8
AT4G32535,8
AT1G10050,8
AT2G42330,8
AT1G67650,8
AT1G09287,8
AT2G45540,8
AT3G50380,8
AT1G63100,8
AT4G24150,8
AT1G53410,8
AT3G56790,8
AT1G05023,8
AT1G77320,8
AT2G31751,8
AT5G56850,8
AT4G28790,8
AT1G17260,8
AT3G05415,8
AT1G35710,8
AT1G53610,8
AT5G22794,8
AT3G41762,8
AT4G06120,8
AT3G42640,8
AT4G30830,8
AT4G01190,8
ArthCp054,8
ArthCp034,8
DA397_mgp30,8
DA397_mgp02,8
AT5G42690,8
AT4G02482,8
AT2G12460,8
AT2G05825,8
AT1G31950,8
DA397_mgp01,8
ArthCp079,8
AT5G25970,8
AT1G73360,8
AT1G09170,8
AT3G60970,8
AT5G03475,8
AT3G03535,8
AT5G44490,8
AT2G33020,8
AT2G05815,8
AT4G23550,8
AT3G06345,8
AT3G14000,8
AT5G63930,8
AT4G20860,8
AT3G16460,8
AT2G09225,8
AT2G03810,8
AT4G02360,8
AT5G25260,8
AT4G15230,8
AT1G01010,8
AT1G06573,8
AT1G12970,8
AT1G68150,8
AT5G45280,8
AT1G49900,8
AT5G54810,8
AT5G28646,8
AT1G75270,8
AT5G01380,8
AT4G28940,8
AT1G44130,8
AT4G01250,8
AT5G19230,8
AT5G52300,8
AT1G76430,8
AT3G61410,8
AT3G49780,8
AT4G15120,8
AT3G17225,8
AT1G09176,8
AT4G08175,8
AT1G05894,8
AT2G09960,8
AT2G24140,8
AT3G47790,8
AT2G47950,8
AT1G68725,8
AT5G06839,8
AT1G64110,8
